movieId,title,genres,rating
1079485,Winnie-the-Pooh: Blood and Honey 2,"27, 53",6.0
974262,Descendants: The Rise of Red,"14, 12, 10751, 35",6.9
5825,National Lampoon's Christmas Vacation,35,7.233
537915,After,"10749, 18",7.12
1190586,Leggings Mania,"18, 10749",5.0
592831,Megalopolis,"878, 18",5.47
14836,Coraline,"16, 10751, 14",7.891
960490,MO002 SQ エボルーション Vol.2 巨乳人妻教師 ： 沢井芽衣,,5.5
1154215,Elyas,"28, 53",6.3
1118028,The Red Virgin,"18, 36, 53",6.886
490132,Green Book,"18, 36",8.242
1328814,Amityville: Where the Echo Lives,"27, 9648",5.95
829560,The Next 365 Days,"10749, 18",6.4
24428,The Avengers,"878, 28, 12",7.724
122,The Lord of the Rings: The Return of the King,"12, 14, 28",8.5
155,The Dark Knight,"18, 28, 80, 53",8.517
974950,Emilia Pérez,"18, 53",7.9
588648,Dragonkeeper,"28, 12, 16, 10751, 14",7.642
603,The Matrix,"28, 878",8.219
1288998,1978,"27, 53, 18",6.7
17979,A Christmas Carol,"16, 10751, 14",6.881
862,Toy Story,"16, 12, 10751, 35",7.971
808,Shrek,"16, 35, 14, 12, 10751",7.744
150540,Inside Out,"16, 10751, 12, 18, 35",7.912
19995,Avatar,"28, 12, 14, 878",7.583
354912,Coco,"10751, 16, 10402, 12",8.208
475557,Joker,"80, 53, 18",8.1
814889,Never Let Go,"27, 18",6.285
863,Toy Story 2,"16, 35, 10751",7.597
1391524,Christmas Is Cancelled,35,6.9
824003,Diabolik - Who Are You?,"80, 28, 9648, 53",6.4
1114513,Speak No Evil,"27, 53",7.308
557,Spider-Man,"28, 878",7.302
269509,The Canterville Ghost,"16, 35, 10751, 14",6.2
872585,Oppenheimer,"18, 36",8.08
1104937,Kill the Jockey,"35, 53",6.6
787699,Wonka,"35, 10751, 14",7.1
923667,Twilight of the Warriors: Walled In,"28, 12, 80, 53",7.002
831815,Saving Bikini Bottom: The Sandy Cheeks Movie,"16, 35, 12, 10751",6.2
1072790,Anyone But You,"10749, 35",6.933
330457,Frozen II,"10751, 16, 12, 35, 14",7.3
9479,The Nightmare Before Christmas,"14, 16, 10751",7.84
493529,Dungeons & Dragons: Honor Among Thieves,"12, 14, 35",7.4
934433,Scream VI,"27, 80, 53",7.0
882598,Smile,"27, 9648",6.663
1066262,The Convert,"28, 18",6.191
15212,Species: The Awakening,"27, 878, 53",4.7
1147400,"Miraculous World: Paris, Tales of Shadybug and Claw Noir","16, 12, 28, 14, 10751",7.224
615656,Meg 2: The Trench,"28, 878, 27",6.474
746036,The Fall Guy,"28, 35, 10749",7.097
818647,Through My Window,"10749, 18, 35",7.383
1022796,Wish,"16, 10751, 14, 12",6.3
562,Die Hard,"28, 53",7.8
1221404,Crayon Shinchan the Movie: Our Dinosaur Diary,"16, 12, 35, 10751",8.0
447365,Guardians of the Galaxy Vol. 3,"878, 12, 28",8.0
947891,My Old Ass,"35, 18",6.766
893723,PAW Patrol: The Mighty Movie,"16, 10751, 28, 878, 35, 18, 12",7.0
1234811,Our Little Secret,"10749, 35, 18",6.326
228150,Fury,"10752, 18, 28",7.5
707610,Bosomy Mom,"18, 10749",5.9
663712,Terrifier 2,"27, 53",6.747
587727,Busty Girlfriend,10749,7.382
58,Pirates of the Caribbean: Dead Man's Chest,"12, 14, 28",7.365
1215162,Kill 'em All 2,"28, 80, 53",6.7
10191,How to Train Your Dragon,"14, 12, 16, 10751",7.833
680,Pulp Fiction,"53, 80",8.487
1389038,Mickey and the Very Many Christmases,"16, 12, 35, 10751",3.5
1087822,Hellboy: The Crooked Man,"14, 27, 28",5.3
2062,Ratatouille,"16, 35, 10751, 14",7.8
420634,Terrifier,"27, 53",6.371
1075676,Uprising,"28, 18, 36",7.123
826510,Harold and the Purple Crayon,"10751, 12, 14, 35",6.9
414906,The Batman,"80, 9648, 53",7.665
928480,Monster Summer,"12, 14, 9648, 27",6.3
976573,Elemental,"16, 35, 10751, 14, 10749",7.628
